t,x,y,z
0.000,374,267,874
0.200,572,216,821
0.400,568,416,761
0.600,635,156,763
0.800,426,273,868
1.000,532,150,880
1.200,500,300,791
1.400,520,315,762
1.600,622,294,689
1.800,456,306,828
2.000,650,388,745
2.200,582,324,794
2.400,430,189,896
2.600,645,81,724
2.800,519,182,816
3.000,557,364,783
3.200,575,212,736
3.400,553,289,778
3.600,408,302,851
3.800,678,280,714
4.000,495,215,850
4.200,577,235,775
4.400,525,266,819
4.600,750,179,700
4.800,425,83,936
5.000,592,203,774
5.200,550,216,833
5.400,725,254,677
5.600,569,229,781
5.800,410,368,811
6.000,473,287,850
6.200,580,354,752
6.400,565,193,765
6.600,528,338,817
6.800,697,188,677
7.000,533,233,834
7.200,580,229,768
7.400,547,377,761
7.600,465,256,867
7.800,585,170,780
