t,x,y,z
0.000,2,138,-865
0.020,25,-4,-641
0.040,28,118,-556
0.060,95,248,-482
0.080,99,48,-364
0.100,127,240,-503
0.120,105,149,-406
0.140,95,129,-602
0.160,112,102,-450
0.180,221,-65,-623
0.200,-4,-234,-722
0.220,58,97,-985
0.240,28,75,-1009
0.260,139,-57,-1321
0.280,225,17,-1341
0.300,201,-16,-1427
0.320,55,-127,-1606
0.340,91,138,-1539
0.360,-7,-32,-1681
0.380,139,-38,-1428
0.400,63,-274,-1364
0.420,151,-284,-1464
0.440,63,-177,-1286
0.460,77,83,-1077
0.480,-61,-206,-938
0.500,76,-206,-934
0.520,38,-218,-718
0.540,-239,-248,-619
0.560,-31,-12,-550
0.580,-62,-105,-431
0.600,-13,-82,-293
0.620,-25,-58,-512
0.640,-130,115,-334
0.660,24,-52,-574
0.680,-256,-61,-699
0.700,-66,41,-637
0.720,-79,46,-1162
0.740,-212,9,-1130
0.760,-253,-15,-1048
0.780,-187,10,-1216
0.800,-260,86,-1453
0.820,-38,81,-1664
0.840,-87,232,-1361
0.860,-115,142,-1729
0.880,-256,220,-1396
0.900,81,203,-1447
0.920,-107,15,-1406
0.940,-56,347,-1270
0.960,13,-8,-1210
0.980,26,232,-1040
1.000,14,37,-706
1.020,89,194,-665
1.040,169,148,-659
1.060,200,192,-423
1.080,303,146,-401
1.100,114,258,-431
1.120,168,215,-399
1.140,-46,110,-508
1.160,75,151,-515
1.180,43,98,-587
1.200,-1,73,-799
1.220,75,62,-929
1.240,92,31,-1026
1.260,76,10,-1119
1.280,369,-233,-1352
1.300,105,-74,-1393
1.320,126,144,-1353
1.340,151,-145,-1634
1.360,109,-138,-1668
1.380,-122,79,-1550
1.400,247,-232,-1523
1.420,372,-226,-1381
1.440,-17,-98,-1439
1.460,148,-175,-1080
1.480,-44,-26,-1160
1.500,-214,-152,-804
1.520,175,-89,-571
1.540,-179,-224,-558
1.560,-22,-73,-489
1.580,-203,-199,-477
1.600,-38,-341,-517
1.620,-71,57,-444
1.640,-27,-120,-450
1.660,-203,89,-612
1.680,-94,287,-548
1.700,-85,3,-782
1.720,82,141,-947
1.740,-190,52,-1215
1.760,-282,-197,-1143
1.780,-150,36,-1543
1.800,-213,-59,-1428
1.820,-94,117,-1745
1.840,-36,77,-1490
1.860,-116,43,-1464
1.880,-147,-95,-1623
1.900,-47,95,-1491
1.920,-18,311,-1482
1.940,-88,86,-1285
1.960,-145,136,-1156
1.980,184,244,-994
2.000,-52,216,-747
2.020,68,187,-825
2.040,255,196,-666
2.060,128,91,-684
2.080,135,160,-429
2.100,-13,187,-605
2.120,306,276,-281
2.140,204,-111,-663
2.160,161,-50,-376
2.180,207,-143,-446
2.200,74,39,-750
2.220,287,-133,-971
2.240,331,-92,-1043
2.260,168,-97,-1200
2.280,152,-141,-1288
2.300,215,-81,-1286
2.320,48,43,-1607
2.340,162,-114,-1604
2.360,91,-33,-1537
2.380,171,-54,-1589
2.400,-14,-225,-1518
2.420,-43,-53,-1485
2.440,194,83,-1294
2.460,-136,-187,-1147
