t,x,y,z
0.000,979,11,191
0.200,993,-3,55
0.400,986,30,215
0.600,1021,3,101
0.800,959,-30,276
1.000,988,23,161
1.200,912,-54,244
1.400,931,38,276
1.600,982,10,212
1.800,979,4,229
2.000,982,55,143
2.200,1024,18,111
2.400,908,-14,370
2.600,1003,-6,73
2.800,976,52,248
3.000,981,11,136
3.200,954,-26,122
3.400,968,36,252
3.600,954,9,334
3.800,968,71,238
4.000,920,-18,364
4.200,950,-18,364
4.400,952,-15,299
4.600,1022,-13,91
4.800,980,-52,234
5.000,984,77,176
5.200,1016,-27,215
5.400,978,44,254
5.600,993,42,66
5.800,963,-34,254
6.000,913,8,364
6.200,989,-17,271
6.400,948,64,340
6.600,1014,4,188
6.800,910,-12,333
7.000,1002,-7,155
7.200,991,-30,171
7.400,954,21,281
7.600,991,51,97
7.800,958,29,278
