t,mag_left,mag_right
0.000,2244,2330
2.000,1997,2488
4.000,2360,2435
6.000,2250,2397
8.000,1870,2282
10.000,2257,2531
12.000,2427,2400
14.000,2261,2291
16.000,2134,2124
18.000,1953,2226
20.000,1916,2347
22.000,2012,2507
24.000,2179,2338
26.000,2264,2250
28.000,2193,2326
30.000,2110,2410
32.000,2245,2511
34.000,2293,2552
36.000,2205,2368
38.000,2183,2486
40.000,2115,2507
42.000,2149,2230
44.000,2142,2390
46.000,2363,2481
48.000,2263,2524
50.000,2400,2332
52.000,2220,2294
54.000,2165,2411
56.000,2185,2287
58.000,2290,2229
60.000,2264,2331
62.000,2202,2312
64.000,2377,2438
66.000,2229,2435
68.000,2166,2455
70.000,2294,2606
72.000,2244,2466
74.000,2170,2287
76.000,2043,2386
78.000,2100,2516
80.000,2039,2429
82.000,2216,2347
84.000,2260,2274
86.000,2120,2357
88.000,2167,2270
90.000,2280,2177
92.000,2249,2556
94.000,1974,2371
96.000,2214,2326
98.000,2214,2284
100.000,2170,2382
102.000,2332,2493
104.000,2226,2437
106.000,2101,2316
108.000,2085,2487
110.000,2382,2415
112.000,2034,2200
114.000,2325,2382
116.000,2112,2525
118.000,2414,2532
120.000,2153,2502
122.000,2226,2417
124.000,2282,2289
126.000,2136,2371
128.000,2083,2582
130.000,2281,2582
132.000,2205,2638
134.000,2218,2805
136.000,2480,2378
138.000,2466,2455
140.000,2185,2655
142.000,2500,2539
144.000,2541,2618
146.000,2638,2493
148.000,2714,2566
150.000,2552,2951
152.000,2467,2601
154.000,2331,2946
156.000,2601,2681
158.000,2538,2503
160.000,2464,2755
162.000,2618,2754
164.000,2642,2704
166.000,2660,2833
168.000,2615,2858
170.000,2623,3008
172.000,2699,2748
174.000,2541,2878
176.000,2487,2913
178.000,2599,2647
