t,x,y,z
0.000,-12,86,-3209
0.050,72,89,-1418
0.100,57,74,-1018
0.150,55,108,-907
0.200,111,90,-1059
0.250,-10,90,-895
0.300,84,50,-957
0.350,-27,20,-961
0.400,165,12,-970
0.450,119,78,-1089
0.500,145,-121,-1210
0.550,50,-89,-930
0.600,148,-128,-932
0.650,9,-52,-1024
0.700,90,7,-949
0.750,99,-19,-962
0.800,9,-138,-1038
0.850,85,-109,-813
0.900,-35,-183,-939
0.950,129,-58,-933
1.000,114,-108,-1114
1.050,-58,-23,-1115
1.100,-28,-75,-1025
1.150,12,-43,-814
1.200,-9,-130,-1045
1.250,-137,5,-1045
1.300,-87,1,-1058
1.350,-113,-193,-1087
1.400,-141,2,-905
1.450,-100,5,-987
1.500,-13,71,-978
1.550,-180,88,-970
1.600,3,29,-844
1.650,-118,173,-991
1.700,-122,-31,-1012
1.750,43,136,-945
1.800,-249,138,-956
1.850,-89,39,-1000
1.900,107,11,-1035
1.950,93,63,-1327
2.000,8,1,-3182
2.050,-81,170,-1297
2.100,214,118,-891
2.150,-59,79,-974
2.200,198,-54,-921
2.250,118,193,-943
2.300,85,17,-1100
2.350,105,30,-838
2.400,46,57,-1126
2.450,67,37,-934
2.500,216,-4,-1089
2.550,135,26,-961
2.600,39,60,-993
2.650,145,57,-951
2.700,104,113,-981
2.750,47,-62,-881
2.800,68,-39,-904
2.850,4,-227,-976
2.900,49,-144,-930
2.950,64,-178,-959
3.000,-16,-219,-964
3.050,-19,-158,-958
3.100,8,-141,-968
3.150,36,-146,-970
3.200,-59,100,-1149
3.250,-15,-95,-1008
3.300,71,-59,-821
3.350,-124,-17,-1039
3.400,-150,-26,-1023
3.450,-83,-184,-840
3.500,-113,139,-1081
3.550,-75,269,-1070
3.600,-215,-13,-962
3.650,-34,149,-1021
3.700,-209,24,-901
3.750,-33,-86,-1003
3.800,53,251,-955
3.850,-21,-10,-1067
3.900,-27,135,-954
3.950,-54,7,-1360
4.000,-93,151,-3385
4.050,-11,135,-1176
4.100,37,175,-1033
