t,x,y,z
0.000,-122,38,-901
0.050,-51,-133,-1007
0.100,48,110,-1122
0.150,-129,71,-953
0.200,153,98,-1010
0.250,-27,257,-1029
0.300,-78,-114,-990
0.350,15,-34,-1006
0.400,27,69,-890
0.450,21,-179,-930
0.500,-142,-17,-1147
0.550,0,-78,-979
0.600,330,-5,-916
0.650,-132,-29,-934
0.700,-9,37,-990
0.750,-101,56,-1081
0.800,187,-51,-931
0.850,0,95,-1060
0.900,100,-12,-874
0.950,62,14,-1078
1.000,77,47,-836
1.050,-38,55,-949
1.100,28,21,-982
1.150,-60,-101,-1040
1.200,59,151,-902
1.250,105,78,-930
1.300,18,77,-823
1.350,-33,-69,-804
1.400,24,97,-913
1.450,-114,243,-822
1.500,18,75,-987
1.550,-88,-11,-963
1.600,112,71,-994
1.650,135,-76,-921
1.700,111,-29,-1179
1.750,-91,24,-947
1.800,155,-100,-1000
1.850,65,-16,-1237
1.900,81,231,-900
1.950,-92,-41,-978
2.000,249,62,-989
2.050,156,-8,-814
2.100,-69,-47,-928
2.150,142,65,-970
2.200,-182,-71,-1061
2.250,-53,59,-1034
2.300,79,8,-1033
2.350,12,43,-914
2.400,-48,-23,-1136
2.450,160,145,-1018
2.500,-48,-124,-983
2.550,21,218,-975
2.600,-78,-244,-859
2.650,19,-161,-982
2.700,-161,348,-888
2.750,57,-18,-1214
2.800,-13,-155,-940
2.850,-214,-91,-878
2.900,164,-118,-1153
2.950,88,85,-1099
3.000,-69,-69,-1119
3.050,-68,125,-931
3.100,206,-9,-1014
3.150,-98,-12,-1131
3.200,-178,70,-856
3.250,84,133,-975
3.300,-72,9,-1037
3.350,-111,-169,-1148
3.400,-1,15,-1047
3.450,143,18,-942
3.500,122,-82,-1197
3.550,75,-69,-869
3.600,34,101,-924
3.650,-208,72,-1067
3.700,-76,-44,-923
3.750,88,101,-1166
3.800,-59,-238,-1010
3.850,60,-76,-976
3.900,23,101,-1082
3.950,-83,-76,-825
4.000,109,-12,-977
4.050,11,20,-1021
4.100,-33,-126,-1064
4.150,165,54,-994
4.200,-21,6,-965
4.250,-65,20,-976
4.300,-75,-79,-1100
4.350,-106,89,-1236
4.400,-27,-61,-1062
4.450,10,113,-992
4.500,-14,-61,-1013
4.550,91,-39,-1115
4.600,-126,-111,-1139
4.650,110,36,-1024
4.700,146,-66,-925
4.750,80,-155,-1156
4.800,-93,91,-870
4.850,-123,105,-1038
4.900,-39,-55,-1032
4.950,-182,-100,-1124
5.000,49,209,-727
5.050,-34,-172,-1041
5.100,-94,198,-943
5.150,-73,94,-946
5.200,-163,-53,-1024
5.250,2,13,-1034
5.300,19,-59,-1090
5.350,152,36,-956
5.400,-159,-17,-918
5.450,-129,110,-1039
5.500,40,-13,-978
5.550,120,-40,-844
5.600,-78,-93,-929
5.650,-107,-37,-909
5.700,121,-177,-949
5.750,188,119,-1024
5.800,-60,-30,-1115
5.850,-26,-19,-1015
5.900,118,-23,-1146
5.950,105,-107,-1045
6.000,196,125,-1217
6.050,190,349,-1378
6.100,147,177,-1115
6.150,138,67,-1062
6.200,-141,-84,-631
6.250,-26,-101,-851
6.300,-209,-179,-1128
6.350,-144,-158,-1401
6.400,-236,54,-1028
6.450,51,114,-747
6.500,68,171,-786
6.550,145,78,-790
6.600,158,146,-1147
6.650,342,38,-1412
6.700,222,-65,-1074
6.750,-23,-49,-979
6.800,-10,-162,-775
6.850,34,-83,-549
6.900,-177,-189,-1207
6.950,-41,-113,-1265
7.000,-78,-127,-1068
7.050,-71,-76,-681
7.100,160,127,-786
7.150,-19,205,-948
7.200,51,145,-1398
7.250,193,117,-1263
7.300,140,43,-1156
7.350,-31,-109,-766
7.400,-79,-64,-546
7.450,-446,-118,-998
7.500,8,-54,-1435
7.550,-149,-147,-1182
7.600,-212,-27,-1015
7.650,-3,8,-904
7.700,164,231,-736
7.750,94,180,-962
7.800,202,142,-1148
7.850,70,31,-1450
7.900,24,-68,-1058
7.950,-90,104,-723
8.000,-141,83,-758
8.050,-375,-120,-1152
8.100,-54,-263,-1362
8.150,-334,-69,-1336
8.200,-88,-34,-983
8.250,129,178,-684
8.300,50,35,-753
8.350,446,114,-1176
8.400,146,24,-1411
8.450,145,213,-1205
8.500,17,-175,-862
8.550,-51,-216,-791
8.600,-155,-45,-748
8.650,-191,-191,-1103
8.700,-214,90,-1432
8.750,-192,67,-1199
8.800,88,19,-833
8.850,24,-37,-777
8.900,382,215,-784
8.950,310,214,-1068
9.000,183,99,-1221
9.050,110,-82,-1160
9.100,-13,28,-885
9.150,-181,-142,-527
9.200,-174,-137,-880
9.250,-188,-62,-1063
9.300,-369,22,-1315
9.350,-167,199,-1117
9.400,167,140,-885
9.450,136,189,-702
9.500,-55,121,-938
9.550,108,335,-1257
9.600,160,77,-1383
9.650,46,41,-1030
9.700,-37,-62,-894
9.750,-48,-197,-680
9.800,-276,-209,-937
9.850,-341,98,-1262
9.900,-200,-173,-1131
9.950,27,9,-1159
10.000,-50,124,-782
10.050,-6,10,-796
10.100,194,94,-996
10.150,499,323,-1383
10.200,220,100,-1285
10.250,204,-22,-1014
10.300,-51,-81,-583
10.350,-46,-269,-784
10.400,-279,-78,-1016
10.450,-130,-147,-1488
10.500,-133,-60,-1197
10.550,-218,7,-1010
10.600,-41,116,-661
10.650,46,-32,-1013
10.700,147,272,-1083
10.750,-8,50,-1267
10.800,337,191,-1184
10.850,94,-115,-948
10.900,-75,-166,-680
10.950,-185,-110,-651
11.000,-135,-118,-1140
11.050,-367,-142,-1263
11.100,-261,61,-1223
11.150,-24,-14,-991
11.200,261,-19,-589
11.250,100,176,-908
11.300,171,250,-958
11.350,127,125,-1225
11.400,88,127,-1234
11.450,108,15,-709
11.500,-32,-224,-614
11.550,-275,-77,-711
11.600,-157,-212,-1067
11.650,-190,-242,-1353
11.700,2,-76,-1107
11.750,-69,-130,-848
11.800,117,133,-703
11.850,-40,277,-828
11.900,321,284,-1262
11.950,141,142,-1143
12.000,-169,77,-1072
12.050,94,239,-1854
12.100,-53,76,-1108
12.150,-62,127,-1054
12.200,168,-132,-890
12.250,-52,67,-1183
