t,x,y,z
0.000,53,-14,-641
0.050,54,20,-954
0.100,-53,-75,-944
0.150,-46,85,-1022
0.200,-187,-138,-1090
0.250,-208,-8,-1030
0.300,98,-91,-1024
0.350,60,78,-1107
0.400,160,-66,-875
0.450,-31,-44,-1130
0.500,-13,250,-1067
0.550,161,139,-1041
0.600,117,146,-1032
0.650,-56,117,-963
0.700,223,46,-1121
0.750,-5,-124,-921
0.800,74,-43,-1093
0.850,94,-39,-871
0.900,-103,-29,-1057
0.950,-109,286,-823
1.000,-66,84,-1189
1.050,132,114,-1035
1.100,-37,26,-951
1.150,-37,-89,-1027
1.200,-44,83,-990
1.250,26,-174,-1039
1.300,-40,-54,-1011
1.350,-31,-159,-900
1.400,98,-53,-933
1.450,-97,-131,-1020
1.500,165,-9,-1159
1.550,27,-58,-1073
1.600,39,-181,-1186
1.650,-151,117,-987
1.700,-61,-68,-927
1.750,135,-73,-968
1.800,252,68,-1030
1.850,40,16,-925
1.900,42,-47,-1007
1.950,45,-67,-987
2.000,-91,135,-831
2.050,-86,95,-977
2.100,15,-21,-966
2.150,111,-123,-888
2.200,-22,-110,-1000
2.250,72,-4,-963
2.300,-30,-51,-889
2.350,-92,110,-959
2.400,-23,-18,-1025
2.450,2,1,-1009
2.500,-197,-215,-959
2.550,-60,-54,-1012
2.600,-109,167,-994
2.650,-12,-104,-902
2.700,81,161,-901
2.750,-79,-126,-852
2.800,-64,-5,-1010
2.850,58,63,-1101
2.900,-61,-174,-936
2.950,-11,-169,-886
3.000,7,-99,-1037
3.050,-55,17,-973
3.100,-53,50,-1263
3.150,-29,73,-895
3.200,89,-102,-1168
3.250,-29,241,-967
3.300,-70,-167,-979
3.350,-41,57,-975
3.400,-236,-7,-913
3.450,-56,-118,-1114
3.500,-131,231,-850
3.550,-58,146,-1104
3.600,-51,-72,-1014
3.650,72,213,-920
3.700,-7,21,-1019
3.750,43,-85,-970
3.800,51,102,-1080
3.850,48,33,-1079
3.900,-198,-53,-906
3.950,-25,237,-938
4.000,-70,-6,-949
4.050,53,-20,-949
4.100,307,98,-979
4.150,-44,-178,-978
4.200,-38,-1,-1052
4.250,83,114,-1068
4.300,-136,36,-855
4.350,46,53,-1139
4.400,-53,63,-959
4.450,3,62,-909
4.500,12,-69,-1140
4.550,25,-14,-1015
4.600,116,-64,-1024
4.650,70,-87,-1215
4.700,-53,86,-1058
4.750,-22,-185,-875
4.800,-175,-65,-1015
4.850,201,15,-1070
4.900,-149,-28,-1122
4.950,-60,8,-873
5.000,-109,142,-1194
5.050,200,-63,-1035
5.100,-45,26,-1003
5.150,-31,-68,-1053
5.200,9,-51,-1067
5.250,-143,6,-947
5.300,-101,104,-1001
5.350,13,-170,-935
5.400,130,199,-1059
5.450,-3,78,-943
5.500,-61,9,-898
5.550,59,-3,-892
5.600,-147,47,-1064
5.650,-34,85,-821
5.700,49,16,-831
5.750,80,-219,-1058
5.800,-63,-64,-1147
5.850,69,21,-821
5.900,-25,16,-1071
5.950,107,131,-827
6.000,107,-54,-874
6.050,-86,-57,-1014
6.100,215,-66,-1094
6.150,239,284,-1054
6.200,275,52,-1350
6.250,294,81,-1248
6.300,32,122,-687
6.350,-7,-173,-508
6.400,-213,-131,-778
6.450,-207,-169,-985
6.500,-173,-260,-1372
6.550,-12,-66,-1251
6.600,50,84,-819
6.650,132,74,-656
6.700,230,103,-731
6.750,119,370,-1172
6.800,252,4,-1232
6.850,64,102,-1110
6.900,-39,145,-773
6.950,-125,-141,-646
7.000,-161,-62,-948
7.050,-189,-195,-1280
7.100,-114,-184,-1464
7.150,-56,-79,-1017
7.200,39,106,-752
7.250,256,23,-571
7.300,176,194,-972
7.350,314,207,-1281
7.400,210,160,-1303
7.450,372,92,-1072
7.500,117,-22,-784
7.550,-131,-275,-626
7.600,-30,-157,-1048
7.650,-381,-259,-1260
7.700,-243,-101,-1355
7.750,-112,-29,-974
7.800,25,95,-791
7.850,99,20,-769
7.900,202,211,-1142
7.950,134,100,-1400
8.000,162,76,-1322
8.050,262,-27,-929
8.100,-187,14,-663
8.150,-101,-340,-750
8.200,-260,-112,-1053
8.250,-262,-176,-1174
8.300,-58,-239,-1270
8.350,-11,-30,-884
8.400,10,253,-612
8.450,130,289,-708
8.500,381,122,-1238
8.550,302,144,-1479
8.600,-205,86,-1191
8.650,-4,-53,-866
8.700,-178,38,-804
8.750,-140,-139,-853
8.800,-281,-68,-1287
8.850,-207,39,-1389
8.900,-301,-103,-1457
8.950,-125,-87,-924
9.000,-21,164,-672
9.050,64,283,-936
9.100,365,114,-1257
9.150,169,267,-1303
9.200,147,-110,-1136
9.250,14,-66,-887
9.300,-229,21,-775
9.350,-106,-93,-861
9.400,-200,-88,-1234
9.450,-209,-78,-1292
9.500,-162,-305,-1100
9.550,-148,163,-654
9.600,115,145,-888
9.650,164,82,-734
9.700,90,379,-1246
9.750,-1,290,-1323
9.800,164,145,-1215
9.850,-31,-36,-624
9.900,-113,-60,-873
9.950,-130,-246,-989
10.000,-206,-56,-1322
10.050,-146,-126,-1224
10.100,-153,122,-1121
10.150,-99,194,-799
10.200,182,203,-882
10.250,168,116,-1007
10.300,76,167,-1256
10.350,80,97,-1246
10.400,-67,8,-888
10.450,64,-177,-784
10.500,-119,-91,-656
10.550,-188,-77,-1101
10.600,-33,-156,-1390
10.650,-232,-260,-1321
10.700,-117,49,-828
10.750,-56,8,-626
10.800,239,216,-739
10.850,90,107,-1233
10.900,148,260,-1153
10.950,142,134,-1086
11.000,-32,-145,-968
11.050,-252,-21,-696
11.100,-176,-140,-747
