t,pitch,roll
0.000,-0.6,-0.7
0.200,-0.4,2.8
0.400,-0.5,-6.0
0.600,1.3,-1.1
0.800,-0.9,0.5
1.000,0.9,4.7
1.200,2.6,0.4
1.400,-3.0,-4.1
1.600,1.0,5.2
1.800,0.2,-0.4
2.000,2.1,-5.8
2.200,-1.2,2.0
2.400,3.5,-1.0
2.600,1.5,1.0
2.800,3.1,-4.5
3.000,2.3,-6.1
3.200,-10.5,-2.4
3.400,-3.7,3.5
3.600,2.7,-4.9
3.800,3.4,-4.0
4.000,-0.3,-1.2
4.200,0.5,3.3
4.400,2.6,1.4
4.600,2.6,1.9
4.800,-2.5,-2.9
5.000,-46.9,2.0
5.200,-46.0,9.3
5.400,-48.3,-4.4
5.600,-41.9,5.7
5.800,-43.0,3.3
6.000,-39.3,-0.4
6.200,-50.7,-2.1
6.400,-41.2,-5.8
6.600,-44.9,1.0
6.800,-46.3,2.9
7.000,-42.7,9.3
7.200,-42.5,-2.4
7.400,-47.2,-3.3
7.600,-41.2,-2.3
7.800,-45.3,3.0
8.000,-47.9,-1.2
8.200,-52.4,-4.3
8.400,-47.3,1.7
8.600,-40.2,-0.1
8.800,-44.0,0.7
9.000,-40.7,3.6
9.200,-43.9,-4.0
9.400,-41.4,1.5
9.600,-40.1,-0.1
9.800,-37.2,-1.4
10.000,6.4,0.5
10.200,-2.1,-4.5
10.400,-0.6,5.7
10.600,3.3,2.8
10.800,-9.5,2.8
11.000,2.2,-2.2
11.200,-2.5,-0.0
11.400,6.9,-4.2
11.600,-1.7,5.4
11.800,-1.8,-1.5
12.000,0.4,-5.0
12.200,0.9,-4.8
12.400,3.5,0.0
12.600,9.1,1.1
12.800,5.5,-5.2
13.000,-0.5,81.3
13.200,7.0,73.3
13.400,4.0,82.4
13.600,6.1,82.8
13.800,0.2,77.9
14.000,-5.0,80.8
14.200,-0.8,88.1
14.400,-2.4,81.3
14.600,-6.3,78.4
14.800,1.0,83.3
15.000,5.8,79.8
15.200,-4.5,81.8
15.400,2.1,82.0
15.600,-2.8,84.5
15.800,0.4,82.8
16.000,5.1,82.4
16.200,1.1,88.6
16.400,1.0,78.8
16.600,0.4,85.9
16.800,0.5,82.1
17.000,4.8,77.9
17.200,-6.9,81.2
17.400,0.9,77.6
17.600,3.5,82.4
17.800,-4.0,82.1
18.000,-0.8,-5.9
18.200,1.8,-0.2
18.400,-3.0,2.1
18.600,2.0,-2.3
18.800,1.6,4.1
19.000,-2.9,1.5
19.200,0.0,9.1
19.400,-7.4,2.8
19.600,-1.2,-0.4
19.800,7.6,-0.0
20.000,9.0,-1.8
20.200,1.4,-2.0
20.400,-2.8,0.2
20.600,-1.1,0.8
20.800,-8.4,8.0
21.000,-10.7,37.0
21.200,-14.0,31.2
21.400,2.7,26.5
21.600,-16.0,27.8
21.800,-8.1,32.8
22.000,-4.8,29.0
22.200,-16.4,28.3
22.400,-5.0,31.9
22.600,-17.8,29.9
22.800,-4.4,38.5
23.000,-7.8,31.2
23.200,-15.0,26.6
23.400,-9.8,32.0
23.600,-7.7,28.1
23.800,-14.6,26.9
24.000,-14.6,32.6
24.200,-19.2,28.7
24.400,-8.2,36.1
24.600,-9.7,34.0
24.800,-11.6,27.0
25.000,-12.7,36.1
25.200,-6.0,31.9
25.400,3.3,29.9
25.600,-7.5,31.2
25.800,-10.9,39.3
26.000,6.0,-5.6
26.200,-1.6,1.7
26.400,3.1,-5.4
26.600,-9.0,-7.6
26.800,-0.3,-0.4
27.000,1.4,-3.1
27.200,-4.9,-8.1
27.400,1.3,1.5
27.600,4.0,3.2
27.800,-0.8,5.4
28.000,-0.5,-2.6
28.200,-2.1,-2.3
28.400,-8.7,0.6
28.600,1.0,-1.4
28.800,-2.9,1.5
29.000,6.9,0.2
29.200,-2.0,-2.4
29.400,-0.3,-5.1
29.600,-0.5,0.2
29.800,7.4,3.8
